Event Data
Swedish Open Skovde 2001
SWEDEN
Dates: 21 Nov - 25 Nov 2001

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	Swedish Open Skovde 2001	ROSSKOPF Jorg (GER)		WANG Hao (CHN)		MS	Main Draw	R32	4 - 1	11:9 11:9 11:9 7:11 11:3	ROSSKOPF Jorg	
2001	Swedish Open Skovde 2001	TASAKI Toshio (JPN)		LIU Guozheng (CHN)		MS	Main Draw	R32	1 - 4	8:11 11:9 7:11 8:11 9:11	LIU Guozheng	
2001	Swedish Open Skovde 2001	WANG Liqin (CHN)		BOLL Timo (GER)		MS	Main Draw	R16	4 - 1	11:8 11:9 6:11 11:6 11:8	WANG Liqin	
2001	Swedish Open Skovde 2001	MA Wenge (CHN)		LIU Guoliang (CHN)		MS	Main Draw	R16	0 - 4	6:11 6:11 9:11 12:14	LIU Guoliang	
2001	Swedish Open Skovde 2001	YAN Sen (CHN)		KORBEL Petr (CZE)		MS	Main Draw	R16	4 - 3	11:6 7:11 12:10 11:13 10:12 11:9 11:5	YAN Sen	
2001	Swedish Open Skovde 2001	OH Sangeun (KOR)		MA Lin (CHN)		MS	Main Draw	R16	4 - 1	11:7 12:10 10:12 11:8 11:3	OH Sangeun	
2001	Swedish Open Skovde 2001	KIM Taeksoo (KOR)		KRZESZEWSKI Tomasz (POL)		MS	Main Draw	R16	2 - 4	11:8 9:11 5:11 5:11 11:5 7:11	KRZESZEWSKI Tomasz	
2001	Swedish Open Skovde 2001	HAKANSSON Fredrik (SWE)		SCHLAGER Werner (AUT)		MS	Main Draw	R16	4 - 2	11:9 11:7 13:15 11:6 7:11 11:8	HAKANSSON Fredrik	
2001	Swedish Open Skovde 2001	RYU Seungmin (KOR)		CHEUNG Yuk (HKG)		MS	Main Draw	R16	4 - 1	11:7 2:11 15:13 11:7 11:8	RYU Seungmin	
2001	Swedish Open Skovde 2001	ROSSKOPF Jorg (GER)		LIU Guozheng (CHN)		MS	Main Draw	R16	4 - 2	12:10 11:9 11:9 8:11 5:11 12:10	ROSSKOPF Jorg	
2001	Swedish Open Skovde 2001	WANG Liqin (CHN)		LIU Guoliang (CHN)		MS	Main Draw	QuarterFinal	4 - 1	9:11 11:2 11:7 11:4 11:4	WANG Liqin	
2001	Swedish Open Skovde 2001	YAN Sen (CHN)		OH Sangeun (KOR)		MS	Main Draw	QuarterFinal	2 - 4	15:13 11:8 4:11 5:11 6:11 11:13	OH Sangeun	
2001	Swedish Open Skovde 2001	KRZESZEWSKI Tomasz (POL)		HAKANSSON Fredrik (SWE)		MS	Main Draw	QuarterFinal	3 - 4	8:11 11:9 8:11 11:9 6:11 17:15 9:11	HAKANSSON Fredrik	
2001	Swedish Open Skovde 2001	RYU Seungmin (KOR)		ROSSKOPF Jorg (GER)		MS	Main Draw	QuarterFinal	4 - 3	11:6 11:13 11:6 11:5 11:13 7:11 11:7	RYU Seungmin	
2001	Swedish Open Skovde 2001	WANG Liqin (CHN)		OH Sangeun (KOR)		MS	Main Draw	SemiFinal	4 - 2	5:11 11:9 11:9 5:11 12:10 11:7	WANG Liqin	
2001	Swedish Open Skovde 2001	HAKANSSON Fredrik (SWE)		RYU Seungmin (KOR)		MS	Main Draw	SemiFinal	2 - 4	12:14 9:11 6:11 11:8 11:7 10:12	RYU Seungmin	
2001	Swedish Open Skovde 2001	WANG Liqin (CHN)		RYU Seungmin (KOR)		MS	Main Draw	Final	4 - 2	8:11 7:11 11:7 11:4 16:14 11:6	WANG Liqin
2001	Swedish Open Skovde 2001	KO Lai Chak (HKG)		DERELI Sukru (TUR)		MS	Qualification		4 - 1	11:6 11:1 10:12 11:4 11:2	KO Lai Chak	
2001	Swedish Open Skovde 2001	KO Lai Chak (HKG)		KOSOWSKI Jakub (POL)		MS	Qualification		4 - 2	11:8 8:11 11:6 12:10 9:11 11:2	KO Lai Chak	
2001	Swedish Open Skovde 2001	KO Lai Chak (HKG)		SORENSEN Mads (DEN)		MS	Qualification		4 - 0	11:3 11:2 11:2 11:8	KO Lai Chak	
2001	Swedish Open Skovde 2001	DERELI Sukru (TUR)		KOSOWSKI Jakub (POL)		MS	Qualification		0 - 4	9:11 7:11 2:11 3:11	KOSOWSKI Jakub	
2001	Swedish Open Skovde 2001	DERELI Sukru (TUR)		SORENSEN Mads (DEN)		MS	Qualification		1 - 4	5:11 9:11 7:11 11:9 5:11	SORENSEN Mads	
2001	Swedish Open Skovde 2001	KOSOWSKI Jakub (POL)		SORENSEN Mads (DEN)		MS	Qualification		0 - 4	6:11 7:11 9:11 9:11	SORENSEN Mads	
2001	Swedish Open Skovde 2001	O Il (PRK)		TASEI Kunihito (JPN)		MS	Qualification		4 - 2	11:9 12:14 11:3 11:9 7:11 11:5	O Il	
2001	Swedish Open Skovde 2001	O Il (PRK)		YOUNG Terry (ENG)		MS	Qualification		4 - 0	16:14 11:4 11:7 17:15	O Il	
2001	Swedish Open Skovde 2001	O Il (PRK)		BENTSEN Allan (DEN)		MS	Qualification		1 - 4	11:13 9:11 11:8 6:11 5:11	BENTSEN Allan	
2001	Swedish Open Skovde 2001	TASEI Kunihito (JPN)		YOUNG Terry (ENG)		MS	Qualification		4 - 0	11:8 11:7 11:4 11:6	TASEI Kunihito	
2001	Swedish Open Skovde 2001	TASEI Kunihito (JPN)		BENTSEN Allan (DEN)		MS	Qualification		4 - 1	11:9 10:12 11:6 11:4 11:8	TASEI Kunihito	
2001	Swedish Open Skovde 2001	YOUNG Terry (ENG)		BENTSEN Allan (DEN)		MS	Qualification		0 - 4	7:11 8:11 9:11 8:11	BENTSEN Allan	
2001	Swedish Open Skovde 2001	CLOSSET Marc (BEL)		JENKINS Ryan (WAL)		MS	Qualification		4 - 1	11:5 12:10 6:11 11:5 11:9	CLOSSET Marc	
